Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-BPR-100.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-BPR-100.txt', log_freq=1, loss_type='BPR', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=100, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 112, 'rec_avg_loss': '0.00000294', 'rec_cur_loss': '0.00000257', 'total training time': '349.2068', 'max mem': '285'}
{'epoch': 113, 'rec_avg_loss': '0.00000278', 'rec_cur_loss': '0.00000271', 'total training time': '352.1531', 'max mem': '285'}
{'epoch': 114, 'rec_avg_loss': '0.00000257', 'rec_cur_loss': '0.00000089', 'total training time': '355.3384', 'max mem': '285'}
{'epoch': 115, 'rec_avg_loss': '0.00000239', 'rec_cur_loss': '0.00000302', 'total training time': '358.2813', 'max mem': '285'}
{'epoch': 116, 'rec_avg_loss': '0.00000230', 'rec_cur_loss': '0.00000165', 'total training time': '361.5626', 'max mem': '285'}
{'epoch': 117, 'rec_avg_loss': '0.00000219', 'rec_cur_loss': '0.00000300', 'total training time': '364.5588', 'max mem': '285'}
{'epoch': 118, 'rec_avg_loss': '0.00000225', 'rec_cur_loss': '0.00000466', 'total training time': '367.7974', 'max mem': '285'}
{'epoch': 119, 'rec_avg_loss': '0.00000205', 'rec_cur_loss': '0.00000135', 'total training time': '370.7308', 'max mem': '285'}
{'epoch': 120, 'rec_avg_loss': '0.00000219', 'rec_cur_loss': '0.00000169', 'total training time': '374.0467', 'max mem': '285'}
{'epoch': 121, 'rec_avg_loss': '0.00000192', 'rec_cur_loss': '0.00000109', 'total training time': '376.8951', 'max mem': '285'}
{'epoch': 122, 'rec_avg_loss': '0.00000193', 'rec_cur_loss': '0.00000227', 'total training time': '379.7430', 'max mem': '285'}
{'epoch': 123, 'rec_avg_loss': '0.00000213', 'rec_cur_loss': '0.00000120', 'total training time': '382.7667', 'max mem': '285'}
{'epoch': 124, 'rec_avg_loss': '0.00000175', 'rec_cur_loss': '0.00000343', 'total training time': '385.5483', 'max mem': '285'}
{'epoch': 125, 'rec_avg_loss': '0.00000166', 'rec_cur_loss': '0.00000250', 'total training time': '389.0694', 'max mem': '285'}
{'epoch': 126, 'rec_avg_loss': '0.00000156', 'rec_cur_loss': '0.00000270', 'total training time': '392.1287', 'max mem': '285'}
{'epoch': 127, 'rec_avg_loss': '0.00000152', 'rec_cur_loss': '0.00000069', 'total training time': '395.5627', 'max mem': '285'}
{'epoch': 128, 'rec_avg_loss': '0.00000129', 'rec_cur_loss': '0.00000021', 'total training time': '398.5591', 'max mem': '285'}
{'epoch': 129, 'rec_avg_loss': '0.00000124', 'rec_cur_loss': '0.00000114', 'total training time': '401.7284', 'max mem': '285'}
{'epoch': 130, 'rec_avg_loss': '0.00000122', 'rec_cur_loss': '0.00000041', 'total training time': '404.5906', 'max mem': '285'}
{'epoch': 131, 'rec_avg_loss': '0.00000123', 'rec_cur_loss': '0.00000089', 'total training time': '407.7525', 'max mem': '285'}
{'epoch': 132, 'rec_avg_loss': '0.00000119', 'rec_cur_loss': '0.00000066', 'total training time': '410.5836', 'max mem': '285'}
{'epoch': 133, 'rec_avg_loss': '0.00000132', 'rec_cur_loss': '0.00000136', 'total training time': '413.6568', 'max mem': '285'}
